subset,replicate,audit_mode,feature_set,n,positives,auc,ap,fresh_positive_count,fresh_label_jaccard_vs_native,fresh_native_core_retention,edge_jaccard,accepted_swaps
full_28719,-1,identity_persistence,address,28719,821,0.661638,0.053426,,,,,
full_28719,0,identity_persistence,weave,28719,821,0.589175,0.059651,138,0.001044,0.001218,0.000064,273397
full_28719,0,identity_persistence,hybrid,28719,821,0.657555,0.054395,138,0.001044,0.001218,0.000064,273397
full_28719,0,fresh_reconstruction,address,28719,138,0.468354,0.005003,138,0.001044,0.001218,0.000064,273397
full_28719,0,fresh_reconstruction,weave,28719,138,0.913226,0.030263,138,0.001044,0.001218,0.000064,273397
full_28719,0,fresh_reconstruction,hybrid,28719,138,0.901391,0.030120,138,0.001044,0.001218,0.000064,273397
full_28719,1,identity_persistence,weave,28719,821,0.586187,0.058257,156,0.001025,0.001218,0.000101,273401
full_28719,1,identity_persistence,hybrid,28719,821,0.659875,0.054746,156,0.001025,0.001218,0.000101,273401
full_28719,1,fresh_reconstruction,address,28719,156,0.519256,0.005693,156,0.001025,0.001218,0.000101,273401
full_28719,1,fresh_reconstruction,weave,28719,156,0.900829,0.029772,156,0.001025,0.001218,0.000101,273401
full_28719,1,fresh_reconstruction,hybrid,28719,156,0.910517,0.038889,156,0.001025,0.001218,0.000101,273401
full_28719,2,identity_persistence,weave,28719,821,0.599955,0.060807,178,0.002006,0.002436,0.000082,273392
full_28719,2,identity_persistence,hybrid,28719,821,0.662816,0.055363,178,0.002006,0.002436,0.000082,273392
full_28719,2,fresh_reconstruction,address,28719,178,0.476962,0.005819,178,0.002006,0.002436,0.000082,273392
full_28719,2,fresh_reconstruction,weave,28719,178,0.913225,0.038465,178,0.002006,0.002436,0.000082,273392
full_28719,2,fresh_reconstruction,hybrid,28719,178,0.913753,0.039930,178,0.002006,0.002436,0.000082,273392
full_28719,3,identity_persistence,weave,28719,821,0.586802,0.061187,214,0.002907,0.003654,0.000174,273387
full_28719,3,identity_persistence,hybrid,28719,821,0.659520,0.054208,214,0.002907,0.003654,0.000174,273387
full_28719,3,fresh_reconstruction,address,28719,214,0.548919,0.008954,214,0.002907,0.003654,0.000174,273387
full_28719,3,fresh_reconstruction,weave,28719,214,0.906143,0.039873,214,0.002907,0.003654,0.000174,273387
full_28719,3,fresh_reconstruction,hybrid,28719,214,0.907377,0.041082,214,0.002907,0.003654,0.000174,273387
full_28719,4,identity_persistence,weave,28719,821,0.584799,0.055889,173,0.008114,0.009744,0.000073,273382
full_28719,4,identity_persistence,hybrid,28719,821,0.655839,0.054358,173,0.008114,0.009744,0.000073,273382
full_28719,4,fresh_reconstruction,address,28719,173,0.537536,0.006680,173,0.008114,0.009744,0.000073,273382
full_28719,4,fresh_reconstruction,weave,28719,173,0.907606,0.035055,173,0.008114,0.009744,0.000073,273382
full_28719,4,fresh_reconstruction,hybrid,28719,173,0.910592,0.037653,173,0.008114,0.009744,0.000073,273382
full_28719,5,identity_persistence,weave,28719,821,0.590306,0.060235,173,0.001007,0.001218,0.000046,273404
full_28719,5,identity_persistence,hybrid,28719,821,0.659753,0.054314,173,0.001007,0.001218,0.000046,273404
full_28719,5,fresh_reconstruction,address,28719,173,0.525897,0.006591,173,0.001007,0.001218,0.000046,273404
full_28719,5,fresh_reconstruction,weave,28719,173,0.914678,0.037364,173,0.001007,0.001218,0.000046,273404
full_28719,5,fresh_reconstruction,hybrid,28719,173,0.920408,0.040990,173,0.001007,0.001218,0.000046,273404
full_28719,6,identity_persistence,weave,28719,821,0.585080,0.057758,163,0.004082,0.004872,0.000073,273398
full_28719,6,identity_persistence,hybrid,28719,821,0.662223,0.055980,163,0.004082,0.004872,0.000073,273398
full_28719,6,fresh_reconstruction,address,28719,163,0.541619,0.006400,163,0.004082,0.004872,0.000073,273398
full_28719,6,fresh_reconstruction,weave,28719,163,0.907460,0.033589,163,0.004082,0.004872,0.000073,273398
full_28719,6,fresh_reconstruction,hybrid,28719,163,0.912203,0.035013,163,0.004082,0.004872,0.000073,273398
full_28719,7,identity_persistence,weave,28719,821,0.589624,0.059123,149,0.001032,0.001218,0.000101,273391
full_28719,7,identity_persistence,hybrid,28719,821,0.660203,0.053940,149,0.001032,0.001218,0.000101,273391
full_28719,7,fresh_reconstruction,address,28719,149,0.534519,0.005983,149,0.001032,0.001218,0.000101,273391
full_28719,7,fresh_reconstruction,weave,28719,149,0.912808,0.033089,149,0.001032,0.001218,0.000101,273391
full_28719,7,fresh_reconstruction,hybrid,28719,149,0.913017,0.033228,149,0.001032,0.001218,0.000101,273391
full_28719,8,identity_persistence,weave,28719,821,0.590928,0.056257,177,0.002008,0.002436,0.000101,273400
full_28719,8,identity_persistence,hybrid,28719,821,0.659764,0.054572,177,0.002008,0.002436,0.000101,273400
full_28719,8,fresh_reconstruction,address,28719,177,0.490529,0.006106,177,0.002008,0.002436,0.000101,273400
full_28719,8,fresh_reconstruction,weave,28719,177,0.913644,0.040721,177,0.002008,0.002436,0.000101,273400
full_28719,8,fresh_reconstruction,hybrid,28719,177,0.913632,0.039737,177,0.002008,0.002436,0.000101,273400
full_28719,9,identity_persistence,weave,28719,821,0.600581,0.062189,164,0.002035,0.002436,0.000110,273400
full_28719,9,identity_persistence,hybrid,28719,821,0.660176,0.055084,164,0.002035,0.002436,0.000110,273400
full_28719,9,fresh_reconstruction,address,28719,164,0.524034,0.006602,164,0.002035,0.002436,0.000110,273400
full_28719,9,fresh_reconstruction,weave,28719,164,0.920747,0.042821,164,0.002035,0.002436,0.000110,273400
full_28719,9,fresh_reconstruction,hybrid,28719,164,0.920526,0.043688,164,0.002035,0.002436,0.000110,273400
interior_75pct,-1,identity_persistence,address,21539,208,0.660547,0.019032,,,,,
interior_75pct,0,identity_persistence,weave,21539,208,0.834945,0.038903,111,0.006309,0.009615,0.000064,273397
interior_75pct,0,identity_persistence,hybrid,21539,208,0.858151,0.045291,111,0.006309,0.009615,0.000064,273397
interior_75pct,0,fresh_reconstruction,address,21539,111,0.526200,0.005677,111,0.006309,0.009615,0.000064,273397
interior_75pct,0,fresh_reconstruction,weave,21539,111,0.909542,0.036930,111,0.006309,0.009615,0.000064,273397
interior_75pct,0,fresh_reconstruction,hybrid,21539,111,0.911775,0.035946,111,0.006309,0.009615,0.000064,273397
interior_75pct,1,identity_persistence,weave,21539,208,0.827753,0.041806,132,0.002950,0.004808,0.000101,273401
interior_75pct,1,identity_persistence,hybrid,21539,208,0.857236,0.044261,132,0.002950,0.004808,0.000101,273401
interior_75pct,1,fresh_reconstruction,address,21539,132,0.509710,0.006935,132,0.002950,0.004808,0.000101,273401
interior_75pct,1,fresh_reconstruction,weave,21539,132,0.899075,0.033815,132,0.002950,0.004808,0.000101,273401
interior_75pct,1,fresh_reconstruction,hybrid,21539,132,0.912725,0.043949,132,0.002950,0.004808,0.000101,273401
interior_75pct,2,identity_persistence,weave,21539,208,0.833551,0.037389,155,0.002762,0.004808,0.000082,273392
interior_75pct,2,identity_persistence,hybrid,21539,208,0.855080,0.042169,155,0.002762,0.004808,0.000082,273392
interior_75pct,2,fresh_reconstruction,address,21539,155,0.459383,0.006483,155,0.002762,0.004808,0.000082,273392
interior_75pct,2,fresh_reconstruction,weave,21539,155,0.912095,0.043925,155,0.002762,0.004808,0.000082,273392
interior_75pct,2,fresh_reconstruction,hybrid,21539,155,0.909531,0.043904,155,0.002762,0.004808,0.000082,273392
interior_75pct,3,identity_persistence,weave,21539,208,0.823662,0.036256,177,0.005222,0.009615,0.000174,273387
interior_75pct,3,identity_persistence,hybrid,21539,208,0.851808,0.039938,177,0.005222,0.009615,0.000174,273387
interior_75pct,3,fresh_reconstruction,address,21539,177,0.530319,0.009526,177,0.005222,0.009615,0.000174,273387
interior_75pct,3,fresh_reconstruction,weave,21539,177,0.908809,0.043465,177,0.005222,0.009615,0.000174,273387
interior_75pct,3,fresh_reconstruction,hybrid,21539,177,0.909581,0.043297,177,0.005222,0.009615,0.000174,273387
interior_75pct,4,identity_persistence,weave,21539,208,0.832098,0.035830,153,0.002778,0.004808,0.000073,273382
interior_75pct,4,identity_persistence,hybrid,21539,208,0.855811,0.044331,153,0.002778,0.004808,0.000073,273382
interior_75pct,4,fresh_reconstruction,address,21539,153,0.559544,0.008024,153,0.002778,0.004808,0.000073,273382
interior_75pct,4,fresh_reconstruction,weave,21539,153,0.907294,0.039842,153,0.002778,0.004808,0.000073,273382
interior_75pct,4,fresh_reconstruction,hybrid,21539,153,0.909080,0.043340,153,0.002778,0.004808,0.000073,273382
interior_75pct,5,identity_persistence,weave,21539,208,0.824500,0.036577,152,0.000000,0.000000,0.000046,273404
interior_75pct,5,identity_persistence,hybrid,21539,208,0.848939,0.040775,152,0.000000,0.000000,0.000046,273404
interior_75pct,5,fresh_reconstruction,address,21539,152,0.521867,0.007980,152,0.000000,0.000000,0.000046,273404
interior_75pct,5,fresh_reconstruction,weave,21539,152,0.919599,0.048612,152,0.000000,0.000000,0.000046,273404
interior_75pct,5,fresh_reconstruction,hybrid,21539,152,0.922499,0.049009,152,0.000000,0.000000,0.000046,273404
interior_75pct,6,identity_persistence,weave,21539,208,0.832068,0.037049,136,0.002915,0.004808,0.000073,273398
interior_75pct,6,identity_persistence,hybrid,21539,208,0.852032,0.042924,136,0.002915,0.004808,0.000073,273398
interior_75pct,6,fresh_reconstruction,address,21539,136,0.557989,0.007574,136,0.002915,0.004808,0.000073,273398
interior_75pct,6,fresh_reconstruction,weave,21539,136,0.910637,0.039848,136,0.002915,0.004808,0.000073,273398
interior_75pct,6,fresh_reconstruction,hybrid,21539,136,0.911896,0.039017,136,0.002915,0.004808,0.000073,273398
interior_75pct,7,identity_persistence,weave,21539,208,0.829355,0.038593,123,0.003030,0.004808,0.000101,273391
interior_75pct,7,identity_persistence,hybrid,21539,208,0.853461,0.041043,123,0.003030,0.004808,0.000101,273391
interior_75pct,7,fresh_reconstruction,address,21539,123,0.570490,0.007486,123,0.003030,0.004808,0.000101,273391
interior_75pct,7,fresh_reconstruction,weave,21539,123,0.913779,0.035771,123,0.003030,0.004808,0.000101,273391
interior_75pct,7,fresh_reconstruction,hybrid,21539,123,0.913261,0.037016,123,0.003030,0.004808,0.000101,273391
interior_75pct,8,identity_persistence,weave,21539,208,0.833360,0.038654,143,0.000000,0.000000,0.000101,273400
interior_75pct,8,identity_persistence,hybrid,21539,208,0.856646,0.045485,143,0.000000,0.000000,0.000101,273400
interior_75pct,8,fresh_reconstruction,address,21539,143,0.498017,0.006784,143,0.000000,0.000000,0.000101,273400
interior_75pct,8,fresh_reconstruction,weave,21539,143,0.911976,0.043499,143,0.000000,0.000000,0.000101,273400
interior_75pct,8,fresh_reconstruction,hybrid,21539,143,0.911699,0.042317,143,0.000000,0.000000,0.000101,273400
interior_75pct,9,identity_persistence,weave,21539,208,0.825670,0.034833,142,0.002865,0.004808,0.000110,273400
interior_75pct,9,identity_persistence,hybrid,21539,208,0.856429,0.042700,142,0.002865,0.004808,0.000110,273400
interior_75pct,9,fresh_reconstruction,address,21539,142,0.505342,0.006920,142,0.002865,0.004808,0.000110,273400
interior_75pct,9,fresh_reconstruction,weave,21539,142,0.924056,0.051827,142,0.002865,0.004808,0.000110,273400
interior_75pct,9,fresh_reconstruction,hybrid,21539,142,0.924713,0.052366,142,0.002865,0.004808,0.000110,273400
